epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,56213.6,1.45011,1.20963,1.24874,0.68046,0.53643,0.59057,0.32543,1.2697,3.30593,0.98145,0.0004556,0.0004556,0.0004556
80,56642.8,1.44621,1.21921,1.24747,0.68368,0.53581,0.59124,0.32549,1.26957,3.29309,0.98105,0.0004358,0.0004358,0.0004358
81,57070,1.43609,1.20327,1.24227,0.68055,0.53801,0.59163,0.32547,1.26938,3.2847,0.98087,0.000416,0.000416,0.000416
82,57493.5,1.43845,1.20548,1.24254,0.68103,0.53844,0.59189,0.32596,1.26889,3.26981,0.9803,0.0003962,0.0003962,0.0003962
83,57923.3,1.42967,1.19744,1.23997,0.68276,0.53643,0.59215,0.32604,1.26853,3.25249,0.9802,0.0003764,0.0003764,0.0003764
84,58354.2,1.43358,1.20082,1.24171,0.68129,0.53915,0.59239,0.32663,1.26777,3.23708,0.97954,0.0003566,0.0003566,0.0003566
85,58784.1,1.4222,1.17973,1.23415,0.68253,0.53848,0.59241,0.3269,1.26748,3.22468,0.97924,0.0003368,0.0003368,0.0003368
86,59213.9,1.42198,1.19132,1.23476,0.68148,0.53939,0.5928,0.3274,1.26755,3.21557,0.97911,0.000317,0.000317,0.000317
87,59643.3,1.43117,1.18806,1.23917,0.67959,0.53935,0.59329,0.32756,1.26766,3.20993,0.97904,0.0002972,0.0002972,0.0002972
88,60075,1.42457,1.18597,1.23929,0.6805,0.53879,0.59328,0.32762,1.26744,3.202,0.97912,0.0002774,0.0002774,0.0002774
89,60509,1.42208,1.17741,1.23382,0.68084,0.53911,0.5932,0.32782,1.26705,3.198,0.97875,0.0002576,0.0002576,0.0002576
90,60934.7,1.41683,1.17576,1.2302,0.68103,0.54069,0.59327,0.32799,1.26688,3.18826,0.97851,0.0002378,0.0002378,0.0002378
91,61362.9,1.43184,1.11863,1.21833,0.68394,0.54014,0.5942,0.32851,1.26687,3.17019,0.97839,0.000218,0.000218,0.000218
92,61791.7,1.42553,1.10382,1.21325,0.68433,0.53977,0.59436,0.32855,1.26691,3.15635,0.97827,0.0001982,0.0001982,0.0001982
93,62220.4,1.4193,1.09832,1.21018,0.68466,0.54147,0.59452,0.32875,1.26701,3.13865,0.97808,0.0001784,0.0001784,0.0001784
94,62650.5,1.41058,1.09912,1.2078,0.68448,0.54147,0.59416,0.32889,1.26701,3.12605,0.97787,0.0001586,0.0001586,0.0001586
95,63074.3,1.42017,1.09101,1.21206,0.68679,0.54226,0.59424,0.32922,1.26681,3.11148,0.97773,0.0001388,0.0001388,0.0001388
96,63502.4,1.4037,1.08009,1.20331,0.68701,0.54163,0.59438,0.32953,1.26686,3.10075,0.97783,0.000119,0.000119,0.000119
97,63930.3,1.4133,1.09126,1.21289,0.68715,0.54158,0.59462,0.32974,1.2667,3.09005,0.97776,9.92e-05,9.92e-05,9.92e-05
98,64355.4,1.39962,1.07865,1.20653,0.6841,0.54341,0.59482,0.32994,1.26683,3.07928,0.97765,7.94e-05,7.94e-05,7.94e-05
99,64782.9,1.40199,1.07852,1.20595,0.68527,0.54387,0.59484,0.32995,1.26689,3.06805,0.97763,5.96e-05,5.96e-05,5.96e-05
100,65211.5,1.41016,1.08604,1.20846,0.68823,0.54306,0.59478,0.32989,1.26702,3.05822,0.97765,3.98e-05,3.98e-05,3.98e-05
